model,category,colored,neutral,grid_w,grid_d,grid_h
floor_wood_2x2,Floor/Net,no,yes,2,2,thin
floor_wood_2x6,Floor/Net,no,yes,2,6,thin
floor_wood_4x4,Floor/Net,no,yes,4,4,thin
hammer,Hazard(moving),yes,no,,,
hammer_large,Hazard(moving),yes,no,,,
hammer_large_spikes,Hazard(moving),yes,no,,,
hammer_spikes,Hazard(moving),yes,no,,,
hammerblock,Hazard(moving),no,yes,,,
hammerblock_spikes,Hazard(moving),no,yes,,,
heart,Collectible,yes,no,,,
hoop,Mechanism,yes,no,,,
hoop_angled,Mechanism,yes,no,,,
lever_floor_base,Mechanism,yes,no,,,
lever_wall_base_A,Mechanism,yes,no,,,
lever_wall_base_B,Mechanism,yes,no,,,
pillar_1x1x1,Pillar,no,yes,1,1,1
pillar_1x1x2,Pillar,no,yes,1,1,2
pillar_1x1x4,Pillar,no,yes,1,1,4
pillar_1x1x8,Pillar,no,yes,1,1,8
pillar_2x2x2,Pillar,no,yes,2,2,2
pillar_2x2x4,Pillar,no,yes,2,2,4
pillar_2x2x8,Pillar,no,yes,2,2,8
pipe_180_A,Pipe,yes,no,,,
pipe_180_B,Pipe,yes,no,,,
pipe_90_A,Pipe,yes,no,,,
pipe_90_B,Pipe,yes,no,,,
pipe_end,Pipe,yes,no,,,
pipe_straight_A,Pipe,yes,no,,,
pipe_straight_B,Pipe,yes,no,,,
platform_1x1x1,Platform,yes,no,1,1,1
platform_2x2x1,Platform,yes,no,2,2,1
platform_2x2x2,Platform,yes,no,2,2,2
platform_2x2x4,Platform,yes,no,2,2,4
platform_4x2x1,Platform,yes,no,4,2,1
platform_4x2x2,Platform,yes,no,4,2,2
platform_4x2x4,Platform,yes,no,4,2,4
platform_4x4x1,Platform,yes,no,4,4,1
platform_4x4x2,Platform,yes,no,4,4,2
platform_4x4x4,Platform,yes,no,4,4,4
platform_6x2x1,Platform,yes,no,6,2,1
platform_6x2x2,Platform,yes,no,6,2,2
platform_6x2x4,Platform,yes,no,6,2,4
platform_6x6x1,Platform,yes,no,6,6,1
platform_6x6x2,Platform,yes,no,6,6,2
platform_6x6x4,Platform,yes,no,6,6,4
platform_arrow_2x2x1,Platform(special),yes,no,2,2,1
platform_arrow_4x4x1,Platform(special),yes,no,4,4,1
platform_decorative_1x1x1,Platform(special),yes,no,1,1,1
platform_decorative_2x2x2,Platform(special),yes,no,2,2,2
platform_hole_6x6x1,Platform(special),yes,no,6,6,1
platform_slope_2x2x2,Slope,yes,no,2,2,2
platform_slope_2x4x4,Slope,yes,no,2,4,4
platform_slope_2x6x4,Slope,yes,no,2,6,4
platform_slope_4x2x2,Slope,yes,no,4,2,2
platform_slope_4x4x4,Slope,yes,no,4,4,4
platform_slope_4x6x4,Slope,yes,no,4,6,4
platform_slope_6x2x2,Slope,yes,no,6,2,2
platform_slope_6x4x4,Slope,yes,no,6,4,4
platform_slope_6x6x4,Slope,yes,no,6,6,4
platform_wood_1x1x1,Platform(special),no,yes,1,1,1
power,Collectible,yes,no,,,
railing_corner_double,Railing,yes,no,,,
railing_corner_padded,Railing,yes,no,,,
railing_corner_single,Railing,yes,no,,,
railing_straight_double,Railing,yes,no,,,
railing_straight_padded,Railing,yes,no,,,
railing_straight_single,Railing,yes,no,,,
safetynet_2x2x1,Floor/Net,yes,no,2,2,1
safetynet_4x2x1,Floor/Net,yes,no,4,2,1
safetynet_6x2x1,Floor/Net,yes,no,6,2,1
saw_trap,Hazard(moving),yes,no,,,
saw_trap_double,Hazard(moving),yes,no,,,
saw_trap_long,Hazard(moving),yes,no,,,
sawblade,Hazard(moving),no,yes,,,
sign,Signage/Flag,no,yes,,,
signage_arrow_stand,Signage/Flag,yes,no,,,
signage_arrow_wall,Signage/Flag,yes,no,,,
signage_arrows_left,Signage/Flag,yes,yes,,,
signage_arrows_right,Signage/Flag,yes,yes,,,
signage_finish,Signage/Flag,no,yes,,,
signage_finish_wide,Signage/Flag,no,yes,,,
spikeball,Hazard(moving),no,yes,,,
spikeball_hanger,Hazard(moving),no,yes,,,
spikeblock_double_horizontal,Hazard(static),yes,no,,,
spikeblock_double_vertical,Hazard(static),yes,no,,,
spikeblock_down,Hazard(static),yes,no,,,
spikeblock_left,Hazard(static),yes,no,,,
spikeblock_omni,Hazard(static),yes,no,,,
spikeblock_quad,Hazard(static),yes,no,,,
spikeblock_right,Hazard(static),yes,no,,,
spikeblock_up,Hazard(static),yes,no,,,
spikeroller_horizontal,Hazard(moving),no,yes,,,
spikeroller_vertical,Hazard(moving),no,yes,,,
spring,Spring,no,yes,,,
spring_pad,Spring,yes,no,,,
star,Collectible,yes,no,,,
structure_A,Structure/Support,no,yes,,,
structure_B,Structure/Support,no,yes,,,
structure_C,Structure/Support,no,yes,,,
strut_horizontal,Structure/Support,no,yes,,,
strut_vertical,Structure/Support,no,yes,,,
swiper,Hazard(moving),yes,no,,,
swiper_double,Hazard(moving),yes,no,,,
swiper_double_long,Hazard(moving),yes,no,,,
swiper_long,Hazard(moving),yes,no,,,
swiper_quad,Hazard(moving),yes,no,,,
swiper_quad_long,Hazard(moving),yes,no,,,
